"Manufacturer_Origin"	"Types"	"Maximal_invoice"
"1"	"Acura [ Asia ]"	"Hybrid=0 Sedan=5 Sports=1 SUV=1 Truck=0 Wagon=0"	"Hybrid=0 Sedan=2466  RUB Sports=4798.68  RUB SUV=2000.22  RUB Truck=0 Wagon=0"
"2"	"Audi [ Europe ]"	"Hybrid=0 Sedan=13 Sports=4 SUV=0 Truck=0 Wagon=2"	"Hybrid=0 Sedan=3884.4  RUB Sports=4585.02  RUB SUV=0 Truck=0 Wagon=4585.02  RUB"
"3"	"BMW [ Europe ]"	"Hybrid=0 Sedan=13 Sports=4 SUV=2 Truck=0 Wagon=1"	"Hybrid=0 Sedan=4009.8  RUB Sports=4009.8  RUB SUV=2863.2  RUB Truck=0 Wagon=4009.8  RUB"
"4"	"Buick [ USA ]"	"Hybrid=0 Sedan=7 Sports=0 SUV=2 Truck=0 Wagon=0"	"Hybrid=0 Sedan=2215.62  RUB Sports=0 SUV=2061.42  RUB Truck=0 Wagon=0"
"5"	"Cadillac [ USA ]"	"Hybrid=0 Sedan=4 Sports=1 SUV=2 Truck=1 Wagon=0"	"Hybrid=0 Sedan=2902.62  RUB Sports=4232.76  RUB SUV=2902.62  RUB Truck=4232.76  RUB Wagon=0"
"6"	"Chevrolet [ USA ]"	"Hybrid=0 Sedan=15 Sports=2 SUV=4 Truck=5 Wagon=1"	"Hybrid=0 Sedan=2245.32  RUB Sports=2711.58  RUB SUV=2245.32  RUB Truck=2711.58  RUB Wagon=2711.58  RUB"
"7"	"Chrysler [ USA ]"	"Hybrid=0 Sedan=13 Sports=1 SUV=0 Truck=0 Wagon=1"	"Hybrid=0 Sedan=2103.78  RUB Sports=2103.78  RUB SUV=0 Truck=0 Wagon=2103.78  RUB"
"8"	"Dodge [ USA ]"	"Hybrid=0 Sedan=8 Sports=1 SUV=1 Truck=3 Wagon=0"	"Hybrid=0 Sedan=1788.72  RUB Sports=4467.06  RUB SUV=1768.32  RUB Truck=4467.06  RUB Wagon=0"
"9"	"Ford [ USA ]"	"Hybrid=0 Sedan=11 Sports=3 SUV=4 Truck=3 Wagon=2"	"Hybrid=0 Sedan=2189.64  RUB Sports=2189.64  RUB SUV=2189.64  RUB Truck=2189.64  RUB Wagon=2189.64  RUB"
"10"	"GMC [ USA ]"	"Hybrid=0 Sedan=1 Sports=0 SUV=3 Truck=4 Wagon=0"	"Hybrid=0 Sedan=2432.04  RUB Sports=0 SUV=2432.04  RUB Truck=2432.04  RUB Wagon=0"
"11"	"Honda [ Asia ]"	"Hybrid=2 Sedan=11 Sports=1 SUV=3 Truck=0 Wagon=0"	"Hybrid=1107.06  RUB Sedan=1490.58  RUB Sports=1797.9  RUB SUV=1490.58  RUB Truck=0 Wagon=0"
"12"	"Hummer [ USA ]"	"Hybrid=0 Sedan=0 Sports=0 SUV=1 Truck=0 Wagon=0"	"Hybrid=0 Sedan=0 Sports=0 SUV=0 Truck=0 Wagon=0"
"13"	"Hyundai [ Asia ]"	"Hybrid=0 Sedan=10 Sports=1 SUV=1 Truck=0 Wagon=0"	"Hybrid=0 Sedan=1409.16  RUB Sports=1409.16  RUB SUV=1212.06  RUB Truck=0 Wagon=0"
"14"	"Infiniti [ Asia ]"	"Hybrid=0 Sedan=6 Sports=0 SUV=0 Truck=0 Wagon=2"	"Hybrid=0 Sedan=2854.5  RUB Sports=0 SUV=0 Truck=0 Wagon=2854.5  RUB"
"15"	"Isuzu [ Asia ]"	"Hybrid=0 Sedan=0 Sports=0 SUV=2 Truck=0 Wagon=0"	"Hybrid=0 Sedan=0 Sports=0 SUV=1798.62  RUB Truck=0 Wagon=0"
"16"	"Jaguar [ Europe ]"	"Hybrid=0 Sedan=8 Sports=4 SUV=0 Truck=0 Wagon=0"	"Hybrid=0 Sedan=4098.36  RUB Sports=4753.56  RUB SUV=0 Truck=0 Wagon=0"
